pyweather_Zeitpunkt,pyweather_Temperatur,pyweather_Temperatur_felt,pyweather_rel_Luftfeuchtigkeit,pyweather_Himmelbeschreibung,pyweather_Windgeschwindigkeit,sense_hat_Zeitpunkt,sense_hat_Temperatur,sense_hat_Temperatur_hum,sense_hat_Temperatur_pres,sense_hat_Temperatur_cpu,sense_hat_Luftdruck,sense_hat_rel_Luftfeuchtigkeit
2022-07-06_04:50:00,13,13,94,Bewölkt,11,2022-07-06_05:47:49,37.99,37.99,36.78,53.0,1022.78,28.36
2022-07-06_05:20:00,13,13,94,Bewölkt,9,2022-07-06_05:48:49,38.07,38.07,36.89,53.5,1022.74,28.06
2022-07-06_05:20:00,13,13,94,Bewölkt,9,2022-07-06_05:49:49,37.94,37.94,36.77,53.5,1022.81,27.94
2022-07-06_05:20:00,13,13,94,Bewölkt,9,2022-07-06_05:50:50,38.09,38.09,36.92,54.0,1022.79,27.8
2022-07-06_05:20:00,13,13,94,Bewölkt,9,2022-07-06_05:51:50,38.01,38.01,36.91,53.5,1022.84,28.01
2022-07-06_05:20:00,13,13,94,Bewölkt,9,2022-07-06_05:52:50,37.88,37.9,36.74,54.0,1022.82,28.43
2022-07-06_05:20:00,13,13,94,Bewölkt,9,2022-07-06_05:53:50,37.88,37.88,36.81,54.0,1022.86,27.97
2022-07-06_05:20:00,13,13,94,Bewölkt,9,2022-07-06_05:54:51,38.01,38.01,36.94,54.0,1022.84,27.97
2022-07-06_05:20:00,13,13,94,Bewölkt,9,2022-07-06_05:55:51,38.01,38.01,36.88,54.0,1022.83,27.82
2022-07-06_05:20:00,13,13,94,Bewölkt,9,2022-07-06_05:56:51,38.18,38.18,36.89,54.5,1022.86,28.05
2022-07-06_05:20:00,13,13,94,Bewölkt,9,2022-07-06_05:57:51,37.94,37.94,36.84,54.0,1022.91,28.02
2022-07-06_05:20:00,13,13,94,Bewölkt,9,2022-07-06_05:58:52,37.94,37.94,36.83,53.5,1022.86,28.03
2022-07-06_05:20:00,13,13,94,Bewölkt,9,2022-07-06_05:59:52,37.9,37.9,36.74,53.0,1022.87,28.01
2022-07-06_05:20:00,13,13,94,Bewölkt,9,2022-07-06_06:00:52,37.94,37.94,36.75,52.5,1022.82,29.12
2022-07-06_05:20:00,13,13,94,Bewölkt,9,2022-07-06_06:01:52,37.98,37.98,36.79,53.0,1022.84,27.76
2022-07-06_05:20:00,13,13,94,Bewölkt,9,2022-07-06_06:02:52,38.05,38.05,36.77,54.5,1022.87,27.94
2022-07-06_05:20:00,13,13,94,Bewölkt,9,2022-07-06_06:03:53,37.85,37.85,36.76,54.0,1022.89,27.98
2022-07-06_05:20:00,13,13,94,Bewölkt,9,2022-07-06_06:04:53,37.9,37.9,36.81,53.5,1022.87,28.15
2022-07-06_05:20:00,13,13,94,Bewölkt,9,2022-07-06_06:05:53,37.99,37.99,36.87,54.0,1022.85,27.91
2022-07-06_05:20:00,13,13,94,Bewölkt,9,2022-07-06_06:06:53,37.96,37.96,36.88,54.5,1022.85,27.88
2022-07-06_05:20:00,13,13,94,Bewölkt,9,2022-07-06_06:07:54,38.16,38.16,36.95,54.0,1022.86,27.97
2022-07-06_05:20:00,13,13,94,Bewölkt,9,2022-07-06_06:08:54,37.94,37.94,36.88,53.5,1022.89,28.11
2022-07-06_05:20:00,13,13,94,Bewölkt,9,2022-07-06_06:09:54,37.96,37.96,36.83,53.0,1022.83,28.11
2022-07-06_05:20:00,13,13,94,Bewölkt,9,2022-07-06_06:10:54,37.98,37.98,36.89,53.5,1022.83,27.86
2022-07-06_05:20:00,13,13,94,Bewölkt,9,2022-07-06_06:11:55,38.05,38.05,36.93,53.5,1022.82,27.89
2022-07-06_05:20:00,13,13,94,Bewölkt,9,2022-07-06_06:12:55,38.1,38.1,36.91,54.0,1022.83,27.87
2022-07-06_05:20:00,13,13,94,Bewölkt,9,2022-07-06_06:13:55,38.18,38.18,36.9,53.0,1022.84,27.87
2022-07-06_05:20:00,13,13,94,Bewölkt,9,2022-07-06_06:14:55,38.23,38.23,37.06,53.0,1022.81,27.94
2022-07-06_05:20:00,13,13,94,Bewölkt,9,2022-07-06_06:15:55,37.99,37.99,36.89,54.0,1022.78,27.73
2022-07-06_05:50:00,13,13,94,Bewölkt,9,2022-07-06_06:16:56,38.14,38.14,37.01,53.5,1022.83,27.99
2022-07-06_05:50:00,13,13,94,Bewölkt,9,2022-07-06_06:17:56,38.09,38.09,36.93,53.0,1022.8,28.31
2022-07-06_05:50:00,13,13,94,Bewölkt,9,2022-07-06_06:18:56,38.1,38.1,36.86,54.5,1022.77,27.99
2022-07-06_05:50:00,13,13,94,Bewölkt,9,2022-07-06_06:19:56,38.25,38.25,36.92,53.0,1022.79,28.0
2022-07-06_05:50:00,13,13,94,Bewölkt,9,2022-07-06_06:20:57,38.34,38.34,37.09,53.0,1022.75,27.92
2022-07-06_05:50:00,13,13,94,Bewölkt,9,2022-07-06_06:21:57,38.03,38.03,36.93,54.0,1022.75,27.85
2022-07-06_05:50:00,13,13,94,Bewölkt,9,2022-07-06_06:22:57,37.98,37.98,36.84,54.0,1022.72,27.9
2022-07-06_05:50:00,13,13,94,Bewölkt,9,2022-07-06_06:23:57,37.99,37.99,36.81,54.0,1022.76,29.3
2022-07-06_05:50:00,13,13,94,Bewölkt,9,2022-07-06_06:24:58,38.01,38.01,36.84,53.5,1022.76,28.18
2022-07-06_05:50:00,13,13,94,Bewölkt,9,2022-07-06_06:25:58,38.05,38.05,36.93,53.0,1022.73,28.17
2022-07-06_05:50:00,13,13,94,Bewölkt,9,2022-07-06_06:26:58,38.1,38.1,36.9,54.0,1022.75,28.15
2022-07-06_05:50:00,13,13,94,Bewölkt,9,2022-07-06_06:27:58,38.09,38.09,36.99,53.5,1022.73,29.29
2022-07-06_05:50:00,13,13,94,Bewölkt,9,2022-07-06_06:28:59,38.21,38.21,37.05,53.0,1022.73,27.82
2022-07-06_05:50:00,13,13,94,Bewölkt,9,2022-07-06_06:29:59,38.18,38.18,37.09,53.5,1022.71,27.71
2022-07-06_05:50:00,13,13,94,Bewölkt,9,2022-07-06_06:30:59,37.96,37.96,36.85,53.5,1022.75,27.77
2022-07-06_05:50:00,13,13,94,Bewölkt,9,2022-07-06_06:31:59,38.27,38.27,37.07,53.5,1022.72,27.92
2022-07-06_05:50:00,13,13,94,Bewölkt,9,2022-07-06_06:32:59,37.99,37.99,36.91,53.0,1022.69,28.02
2022-07-06_05:50:00,13,13,94,Bewölkt,9,2022-07-06_06:34:00,38.14,38.14,36.97,53.5,1022.71,27.97
2022-07-06_05:50:00,13,13,94,Bewölkt,9,2022-07-06_06:35:00,38.14,38.14,36.97,53.5,1022.68,27.79
2022-07-06_05:50:00,13,13,94,Bewölkt,9,2022-07-06_06:36:00,38.12,38.12,37.02,53.0,1022.75,27.96
2022-07-06_05:50:00,13,13,94,Bewölkt,9,2022-07-06_06:37:00,38.16,38.16,36.96,53.0,1022.72,28.17
2022-07-06_05:50:00,13,13,94,Bewölkt,9,2022-07-06_06:38:01,38.01,38.01,36.93,52.5,1022.71,27.81
2022-07-06_05:50:00,13,13,94,Bewölkt,9,2022-07-06_06:39:01,37.85,37.85,36.77,53.0,1022.69,28.02
2022-07-06_05:50:00,13,13,94,Bewölkt,9,2022-07-06_06:40:01,37.99,37.99,36.76,54.0,1022.71,27.98
2022-07-06_05:50:00,13,13,94,Bewölkt,9,2022-07-06_06:41:01,38.14,38.14,36.92,54.0,1022.69,28.01
2022-07-06_05:50:00,13,13,94,Bewölkt,9,2022-07-06_06:42:02,37.92,37.92,36.81,53.5,1022.72,28.06
2022-07-06_05:50:00,13,13,94,Bewölkt,9,2022-07-06_06:43:02,38.1,38.1,36.91,53.0,1022.72,28.01
2022-07-06_05:50:00,13,13,94,Bewölkt,9,2022-07-06_06:44:02,38.21,38.21,37.1,53.5,1022.68,27.87
2022-07-06_06:20:00,13,13,94,Teilweise sonnig,13,2022-07-06_06:45:02,38.18,38.18,37.05,53.5,1022.7,27.93
2022-07-06_06:20:00,13,13,94,Teilweise sonnig,13,2022-07-06_06:46:03,37.96,37.96,36.9,55.0,1022.68,27.84
2022-07-06_06:20:00,13,13,94,Teilweise sonnig,13,2022-07-06_06:47:03,38.18,38.18,36.95,53.5,1022.71,27.88
2022-07-06_06:20:00,13,13,94,Teilweise sonnig,13,2022-07-06_06:48:03,38.21,38.21,36.96,53.5,1022.71,27.78
2022-07-06_06:20:00,13,13,94,Teilweise sonnig,13,2022-07-06_06:49:03,38.12,38.12,37.0,53.0,1022.71,27.72
2022-07-06_06:20:00,13,13,94,Teilweise sonnig,13,2022-07-06_06:50:03,38.27,38.27,36.99,54.0,1022.72,27.85
2022-07-06_06:20:00,13,13,94,Teilweise sonnig,13,2022-07-06_06:51:04,38.12,38.12,36.98,53.5,1022.72,27.94
2022-07-06_06:20:00,13,13,94,Teilweise sonnig,13,2022-07-06_06:52:04,38.01,38.01,36.96,54.5,1022.69,28.21
2022-07-06_06:20:00,13,13,94,Teilweise sonnig,13,2022-07-06_06:53:04,38.12,38.12,36.95,53.5,1022.74,28.02
2022-07-06_06:20:00,13,13,94,Teilweise sonnig,13,2022-07-06_06:54:04,38.14,38.14,36.97,54.0,1022.74,27.92
2022-07-06_06:20:00,13,13,94,Teilweise sonnig,13,2022-07-06_06:55:05,38.34,38.34,37.13,53.0,1022.69,27.55
2022-07-06_06:20:00,13,13,94,Teilweise sonnig,13,2022-07-06_06:56:05,38.32,38.32,37.16,54.5,1022.69,27.57
2022-07-06_06:20:00,13,13,94,Teilweise sonnig,13,2022-07-06_06:57:05,38.31,38.31,37.13,54.0,1022.68,28.68
2022-07-06_06:20:00,13,13,94,Teilweise sonnig,13,2022-07-06_06:58:05,38.05,38.05,36.95,53.5,1022.75,27.88
2022-07-06_06:20:00,13,13,94,Teilweise sonnig,13,2022-07-06_06:59:06,38.4,38.4,37.13,54.0,1022.68,27.64
2022-07-06_06:20:00,13,13,94,Teilweise sonnig,13,2022-07-06_07:00:06,38.05,38.05,36.96,53.5,1022.73,27.88
2022-07-06_06:20:00,13,13,94,Teilweise sonnig,13,2022-07-06_07:01:06,38.25,38.25,37.06,53.5,1022.71,27.99
2022-07-06_06:20:00,13,13,94,Teilweise sonnig,13,2022-07-06_07:02:06,38.27,38.27,37.09,54.5,1022.68,27.82
2022-07-06_06:20:00,14,13,94,Teilweise sonnig,13,2022-07-06_07:03:07,38.27,38.27,37.06,53.5,1022.73,27.94
2022-07-06_06:20:00,14,13,94,Teilweise sonnig,13,2022-07-06_07:04:07,38.34,38.34,37.15,53.5,1022.66,27.72
2022-07-06_06:20:00,14,13,94,Teilweise sonnig,13,2022-07-06_07:05:07,38.29,38.29,37.09,53.5,1022.73,27.85
2022-07-06_06:20:00,14,13,94,Teilweise sonnig,13,2022-07-06_07:06:07,38.27,38.27,37.09,52.5,1022.7,27.75
2022-07-06_06:20:00,14,13,94,Teilweise sonnig,13,2022-07-06_07:07:08,38.25,38.25,37.03,54.0,1022.78,28.08
2022-07-06_06:20:00,14,13,94,Teilweise sonnig,13,2022-07-06_07:08:08,38.25,38.25,37.01,53.0,1022.79,27.97
2022-07-06_06:20:00,14,13,94,Teilweise sonnig,13,2022-07-06_07:09:08,38.14,38.14,37.0,54.0,1022.78,28.02
2022-07-06_06:20:00,14,13,94,Teilweise sonnig,13,2022-07-06_07:10:08,38.25,38.25,37.05,53.0,1022.75,27.94
2022-07-06_06:20:00,14,13,94,Teilweise sonnig,13,2022-07-06_07:11:08,38.38,38.38,37.12,53.5,1022.76,27.59
2022-07-06_06:50:00,14,14,88,Überwiegend sonnig,13,2022-07-06_07:12:09,38.16,38.16,37.0,53.0,1022.81,27.83
2022-07-06_06:50:00,14,14,88,Überwiegend sonnig,13,2022-07-06_07:13:09,38.54,38.54,37.22,53.5,1022.73,27.73
2022-07-06_06:50:00,14,14,88,Überwiegend sonnig,13,2022-07-06_07:14:09,38.38,38.38,37.15,53.0,1022.73,27.05
2022-07-06_06:50:00,14,14,88,Überwiegend sonnig,13,2022-07-06_07:15:09,38.21,38.21,37.02,54.5,1022.78,27.8
2022-07-06_06:50:00,14,14,88,Überwiegend sonnig,13,2022-07-06_07:16:10,38.32,38.32,37.19,53.5,1022.69,27.65
2022-07-06_06:50:00,14,14,88,Überwiegend sonnig,13,2022-07-06_07:17:10,38.23,38.23,37.12,54.0,1022.69,27.97
2022-07-06_06:50:00,14,14,88,Überwiegend sonnig,13,2022-07-06_07:18:10,38.31,38.31,37.18,54.0,1022.74,27.57
2022-07-06_06:50:00,14,14,88,Überwiegend sonnig,13,2022-07-06_07:19:10,38.38,38.38,37.2,53.5,1022.7,27.81
2022-07-06_06:50:00,14,14,88,Überwiegend sonnig,13,2022-07-06_07:20:11,38.21,38.21,37.1,53.5,1022.76,27.68
2022-07-06_06:50:00,14,14,88,Überwiegend sonnig,13,2022-07-06_07:21:11,38.27,38.27,37.11,53.5,1022.74,27.85
2022-07-06_06:50:00,14,14,88,Überwiegend sonnig,13,2022-07-06_07:22:11,38.18,38.18,37.06,53.5,1022.74,27.66
2022-07-06_06:50:00,14,14,88,Überwiegend sonnig,13,2022-07-06_07:23:11,38.23,38.23,37.03,54.5,1022.74,27.93
2022-07-06_06:50:00,14,14,88,Überwiegend sonnig,13,2022-07-06_07:24:12,38.36,38.36,37.17,54.0,1022.72,27.82
2022-07-06_06:50:00,14,14,88,Überwiegend sonnig,13,2022-07-06_07:25:12,38.27,38.27,37.08,53.5,1022.72,27.85
2022-07-06_06:50:00,14,14,88,Überwiegend sonnig,13,2022-07-06_07:26:12,38.36,38.36,37.14,54.0,1022.72,27.78
2022-07-06_06:50:00,14,14,88,Überwiegend sonnig,13,2022-07-06_07:27:12,38.23,38.23,37.08,53.5,1022.74,27.87
2022-07-06_06:50:00,14,14,88,Überwiegend sonnig,13,2022-07-06_07:28:12,38.42,38.42,37.3,54.0,1022.68,27.76
2022-07-06_06:50:00,14,14,88,Überwiegend sonnig,13,2022-07-06_07:29:13,38.47,38.47,37.27,55.0,1022.65,27.81
2022-07-06_06:50:00,14,14,88,Überwiegend sonnig,13,2022-07-06_07:30:13,38.34,38.34,37.22,53.0,1022.68,27.46
2022-07-06_06:50:00,14,14,88,Überwiegend sonnig,13,2022-07-06_07:31:13,38.42,38.42,37.25,53.0,1022.71,27.6
2022-07-06_06:50:00,14,14,88,Überwiegend sonnig,13,2022-07-06_07:32:13,38.23,38.23,37.11,53.0,1022.68,27.9
2022-07-06_06:50:00,14,14,88,Überwiegend sonnig,13,2022-07-06_07:33:14,38.23,38.23,37.15,54.0,1022.64,27.4
2022-07-06_06:50:00,14,14,88,Überwiegend sonnig,13,2022-07-06_07:34:14,38.53,38.53,37.31,53.0,1022.62,27.67
2022-07-06_06:50:00,14,14,88,Überwiegend sonnig,13,2022-07-06_07:35:14,38.58,38.58,37.32,53.5,1022.63,27.86
2022-07-06_06:50:00,14,14,88,Überwiegend sonnig,13,2022-07-06_07:36:14,38.32,38.32,37.24,53.5,1022.65,27.76
2022-07-06_06:50:00,14,14,88,Überwiegend sonnig,13,2022-07-06_07:37:15,38.36,38.36,37.17,54.5,1022.66,26.84
2022-07-06_06:50:00,14,14,88,Überwiegend sonnig,13,2022-07-06_07:38:15,38.36,38.36,37.19,53.5,1022.62,27.75
2022-07-06_06:50:00,14,14,88,Überwiegend sonnig,13,2022-07-06_07:39:15,38.34,38.34,37.13,53.5,1022.71,27.81
2022-07-06_06:50:00,15,14,88,Überwiegend sonnig,13,2022-07-06_07:40:15,38.29,38.29,37.24,54.0,1022.68,27.91
2022-07-06_06:50:00,15,14,88,Überwiegend sonnig,13,2022-07-06_07:41:15,38.43,38.43,37.33,53.5,1022.65,27.77
2022-07-06_06:50:00,15,14,88,Überwiegend sonnig,13,2022-07-06_07:42:16,38.64,38.64,37.42,52.1,1022.66,27.5
2022-07-06_06:50:00,15,14,88,Überwiegend sonnig,13,2022-07-06_07:43:16,38.49,38.49,37.31,53.0,1022.69,27.58
2022-07-06_06:50:00,15,14,88,Überwiegend sonnig,13,2022-07-06_07:44:16,38.54,38.54,37.29,54.5,1022.73,27.43
2022-07-06_06:50:00,15,14,88,Überwiegend sonnig,13,2022-07-06_07:45:16,38.53,38.53,37.35,54.0,1022.74,27.56
2022-07-06_06:50:00,15,14,88,Überwiegend sonnig,13,2022-07-06_07:46:17,38.47,38.47,37.31,54.0,1022.76,27.6
2022-07-06_06:50:00,15,14,88,Überwiegend sonnig,13,2022-07-06_07:47:17,38.45,38.45,37.24,53.0,1022.73,27.73
2022-07-06_06:50:00,15,14,88,Überwiegend sonnig,13,2022-07-06_07:48:17,38.34,38.34,37.12,54.5,1022.79,27.56
2022-07-06_06:50:00,15,14,88,Überwiegend sonnig,13,2022-07-06_07:49:17,38.38,38.38,37.24,53.5,1022.76,27.61
2022-07-06_06:50:00,15,14,88,Überwiegend sonnig,13,2022-07-06_07:50:17,38.58,38.58,37.36,53.0,1022.79,27.6
2022-07-06_06:50:00,15,14,88,Überwiegend sonnig,13,2022-07-06_07:51:18,38.6,38.6,37.4,53.5,1022.83,27.56
2022-07-06_06:50:00,15,14,88,Überwiegend sonnig,13,2022-07-06_07:52:18,38.49,38.49,37.43,53.0,1022.81,27.59
2022-07-06_06:50:00,15,14,88,Überwiegend sonnig,13,2022-07-06_07:53:18,38.53,38.53,37.41,53.5,1022.87,26.85
2022-07-06_06:50:00,15,14,88,Überwiegend sonnig,13,2022-07-06_07:54:18,38.42,38.42,37.31,53.5,1022.87,27.64
2022-07-06_06:50:00,15,14,88,Überwiegend sonnig,13,2022-07-06_07:55:19,38.31,38.31,37.11,53.5,1022.96,28.05
2022-07-06_06:50:00,15,14,88,Überwiegend sonnig,13,2022-07-06_07:56:19,38.38,38.38,37.12,54.5,1022.98,27.99
2022-07-06_06:50:00,15,14,88,Überwiegend sonnig,13,2022-07-06_07:57:19,38.36,38.36,37.22,53.5,1022.95,27.78
2022-07-06_06:50:00,15,14,88,Überwiegend sonnig,13,2022-07-06_07:58:19,38.4,38.4,37.18,53.5,1022.97,27.82
2022-07-06_07:20:00,14,14,88,Überwiegend sonnig,17,2022-07-06_07:59:20,38.32,38.32,37.14,54.0,1022.96,27.65
2022-07-06_07:20:00,14,14,88,Überwiegend sonnig,17,2022-07-06_08:00:20,38.4,38.4,37.24,52.5,1022.92,27.77
2022-07-06_07:20:00,14,14,88,Überwiegend sonnig,17,2022-07-06_08:01:20,38.4,38.4,37.19,53.5,1022.92,27.94
2022-07-06_07:20:00,14,14,88,Überwiegend sonnig,17,2022-07-06_08:02:20,38.38,38.38,37.18,53.5,1022.92,27.9
2022-07-06_07:20:00,14,14,88,Überwiegend sonnig,17,2022-07-06_08:03:20,38.45,38.45,37.25,53.5,1022.93,27.65
2022-07-06_07:20:00,14,14,88,Überwiegend sonnig,17,2022-07-06_08:04:21,38.43,38.43,37.28,54.0,1022.95,27.63
2022-07-06_07:20:00,14,14,88,Überwiegend sonnig,17,2022-07-06_08:05:21,38.43,38.43,37.29,53.0,1022.98,27.49
2022-07-06_07:20:00,14,14,88,Überwiegend sonnig,17,2022-07-06_08:06:21,38.23,38.23,37.14,53.5,1023.01,27.82
2022-07-06_07:20:00,14,14,88,Überwiegend sonnig,17,2022-07-06_08:07:21,38.32,38.32,37.19,54.0,1023.08,27.63
2022-07-06_07:20:00,15,14,88,Überwiegend sonnig,17,2022-07-06_08:08:22,38.29,38.29,37.18,53.5,1023.13,27.76
2022-07-06_07:20:00,15,14,88,Überwiegend sonnig,17,2022-07-06_08:09:22,38.38,38.38,37.15,54.0,1023.04,28.29
2022-07-06_07:20:00,15,14,88,Überwiegend sonnig,17,2022-07-06_08:10:22,38.1,38.1,36.93,54.0,1023.13,27.88
2022-07-06_07:20:00,15,14,88,Überwiegend sonnig,17,2022-07-06_08:11:22,38.21,38.21,37.01,53.0,1023.12,28.22
2022-07-06_07:20:00,15,14,88,Überwiegend sonnig,17,2022-07-06_08:12:22,38.25,38.25,37.1,54.0,1023.16,27.94
2022-07-06_07:20:00,15,14,88,Überwiegend sonnig,17,2022-07-06_08:13:23,38.42,38.42,37.17,53.5,1023.16,28.12
2022-07-06_07:20:00,15,14,88,Überwiegend sonnig,17,2022-07-06_08:14:23,38.32,38.32,37.14,54.0,1023.17,28.04
2022-07-06_07:20:00,15,14,88,Überwiegend sonnig,17,2022-07-06_08:15:23,38.12,38.12,37.04,54.0,1023.11,28.07
2022-07-06_07:20:00,15,14,88,Überwiegend sonnig,17,2022-07-06_08:16:23,38.31,38.31,37.09,54.0,1023.11,27.88
2022-07-06_07:50:00,14,14,88,Überwiegend sonnig,15,2022-07-06_08:17:24,38.23,38.23,37.06,53.5,1023.1,27.94
2022-07-06_07:50:00,14,14,88,Überwiegend sonnig,15,2022-07-06_08:18:24,38.21,38.21,37.08,53.0,1023.06,27.97
2022-07-06_07:50:00,14,14,88,Überwiegend sonnig,15,2022-07-06_08:19:24,38.32,38.32,37.12,53.5,1023.06,28.48
2022-07-06_07:50:00,14,14,88,Überwiegend sonnig,15,2022-07-06_08:20:24,38.47,38.47,37.21,53.5,1022.95,27.92
2022-07-06_07:50:00,14,14,88,Überwiegend sonnig,15,2022-07-06_08:21:25,38.36,38.36,37.21,53.5,1022.94,28.23
2022-07-06_07:50:00,14,14,88,Überwiegend sonnig,15,2022-07-06_08:22:25,38.34,38.34,37.22,54.5,1022.92,27.62
2022-07-06_07:50:00,14,14,88,Überwiegend sonnig,15,2022-07-06_08:23:25,38.42,38.42,37.23,52.5,1022.92,27.63
2022-07-06_07:50:00,14,14,88,Überwiegend sonnig,15,2022-07-06_08:24:25,38.43,38.43,37.27,54.0,1022.95,27.66
2022-07-06_07:50:00,14,14,88,Überwiegend sonnig,15,2022-07-06_08:25:26,38.4,38.4,37.26,53.5,1022.94,27.47
2022-07-06_07:50:00,14,14,88,Überwiegend sonnig,15,2022-07-06_08:26:26,38.4,38.4,37.19,54.0,1022.98,27.51
2022-07-06_07:50:00,14,14,88,Überwiegend sonnig,15,2022-07-06_08:27:26,38.25,38.25,37.14,52.5,1023.04,27.77
2022-07-06_07:50:00,14,14,88,Überwiegend sonnig,15,2022-07-06_08:28:26,38.47,38.47,37.24,53.5,1022.96,28.65
2022-07-06_07:50:00,14,14,88,Überwiegend sonnig,15,2022-07-06_08:29:27,38.4,38.4,37.35,53.5,1022.95,27.87
2022-07-06_07:50:00,14,14,88,Überwiegend sonnig,15,2022-07-06_08:30:27,38.62,38.62,37.38,53.0,1022.96,27.6
2022-07-06_07:50:00,14,14,88,Überwiegend sonnig,15,2022-07-06_08:31:27,38.45,38.45,37.33,54.0,1022.99,27.77
2022-07-06_07:50:00,14,14,88,Überwiegend sonnig,15,2022-07-06_08:32:27,38.32,38.32,37.17,53.0,1023.05,27.79
2022-07-06_07:50:00,14,14,88,Überwiegend sonnig,15,2022-07-06_08:33:27,38.47,38.47,37.21,53.0,1023.04,27.6
2022-07-06_07:50:00,14,14,88,Überwiegend sonnig,15,2022-07-06_08:34:28,38.49,38.49,37.36,53.5,1022.93,27.72
2022-07-06_07:50:00,14,14,88,Überwiegend sonnig,15,2022-07-06_08:35:28,38.18,38.18,37.17,53.5,1022.99,27.58
2022-07-06_07:50:00,14,14,88,Überwiegend sonnig,15,2022-07-06_08:36:28,38.58,38.58,37.39,54.5,1022.92,27.68
2022-07-06_07:50:00,14,14,88,Überwiegend sonnig,15,2022-07-06_08:37:28,38.47,38.47,37.34,53.5,1022.92,27.75
2022-07-06_07:50:00,14,14,88,Überwiegend sonnig,15,2022-07-06_08:38:29,38.54,38.54,37.39,53.5,1022.91,27.69
2022-07-06_07:50:00,14,14,88,Überwiegend sonnig,15,2022-07-06_08:39:29,38.73,38.73,37.45,54.0,1022.92,27.61
2022-07-06_07:50:00,14,14,88,Überwiegend sonnig,15,2022-07-06_08:40:29,38.51,38.51,37.4,54.0,1022.89,27.65
2022-07-06_07:50:00,14,14,88,Überwiegend sonnig,15,2022-07-06_08:41:29,38.43,38.43,37.35,53.5,1022.86,27.52
2022-07-06_07:50:00,14,14,88,Überwiegend sonnig,15,2022-07-06_08:42:29,38.71,38.71,37.49,53.5,1022.89,27.45
2022-07-06_07:50:00,14,14,88,Überwiegend sonnig,15,2022-07-06_08:43:30,38.62,38.62,37.51,55.0,1022.89,28.33
2022-07-06_07:50:00,14,14,88,Überwiegend sonnig,15,2022-07-06_08:44:30,38.75,38.75,37.54,54.0,1022.91,28.25
2022-07-06_07:50:00,14,14,88,Überwiegend sonnig,15,2022-07-06_08:45:30,38.64,38.64,37.58,53.5,1022.91,27.39
2022-07-06_07:50:00,14,14,88,Überwiegend sonnig,15,2022-07-06_08:46:30,38.65,38.65,37.56,54.5,1022.95,27.41
2022-07-06_07:50:00,14,14,88,Überwiegend sonnig,15,2022-07-06_08:47:31,38.65,38.65,37.49,54.0,1022.94,28.49
2022-07-06_07:50:00,14,14,88,Überwiegend sonnig,15,2022-07-06_08:48:31,38.86,38.86,37.71,53.5,1022.92,27.24
2022-07-06_07:50:00,14,14,88,Überwiegend sonnig,15,2022-07-06_08:49:31,38.73,38.73,37.58,53.5,1022.9,27.44
2022-07-06_07:50:00,14,14,88,Überwiegend sonnig,15,2022-07-06_08:50:32,38.73,38.73,37.6,53.5,1022.87,27.47
2022-07-06_07:50:00,14,14,88,Überwiegend sonnig,15,2022-07-06_08:51:32,38.71,38.71,37.63,55.0,1022.94,27.16
2022-07-06_07:50:00,14,14,88,Überwiegend sonnig,15,2022-07-06_08:52:32,38.58,38.58,37.53,54.0,1022.93,27.27
2022-07-06_07:50:00,14,14,88,Überwiegend sonnig,15,2022-07-06_08:53:32,38.69,38.69,37.63,53.5,1022.92,27.38
2022-07-06_07:50:00,14,14,88,Überwiegend sonnig,15,2022-07-06_08:54:32,38.89,38.89,37.69,54.0,1022.92,27.27
2022-07-06_07:50:00,14,14,88,Überwiegend sonnig,15,2022-07-06_08:55:33,38.8,38.8,37.75,54.5,1022.95,27.39
2022-07-06_07:50:00,14,14,88,Überwiegend sonnig,15,2022-07-06_08:56:33,38.82,38.82,37.62,54.5,1022.95,27.38
2022-07-06_08:20:00,14,14,82,Teilweise sonnig,17,2022-07-06_08:57:33,38.93,38.93,37.83,53.5,1022.93,27.2
2022-07-06_08:20:00,14,14,82,Teilweise sonnig,17,2022-07-06_08:58:33,39.02,39.02,37.8,54.5,1022.97,27.34
2022-07-06_08:20:00,14,14,82,Teilweise sonnig,17,2022-07-06_08:59:34,38.89,38.89,37.77,54.5,1022.97,27.18
2022-07-06_08:20:00,14,14,82,Teilweise sonnig,17,2022-07-06_09:00:34,38.91,38.91,37.72,54.0,1022.98,27.13
2022-07-06_08:20:00,14,14,82,Teilweise sonnig,17,2022-07-06_09:01:34,38.82,38.82,37.7,54.0,1022.99,27.23
2022-07-06_08:20:00,14,14,82,Teilweise sonnig,17,2022-07-06_09:02:34,38.95,38.95,37.74,53.5,1022.95,27.08
2022-07-06_08:20:00,14,14,82,Teilweise sonnig,17,2022-07-06_09:03:35,38.86,38.86,37.74,53.5,1023.0,27.57
2022-07-06_08:20:00,14,14,82,Teilweise sonnig,17,2022-07-06_09:04:35,38.98,38.98,37.82,53.5,1022.97,27.16
2022-07-06_08:20:00,14,14,82,Teilweise sonnig,17,2022-07-06_09:05:35,39.02,39.02,37.83,55.0,1022.98,27.16
2022-07-06_08:20:00,14,14,82,Teilweise sonnig,17,2022-07-06_09:06:36,39.08,39.08,37.9,54.5,1023.04,26.89
2022-07-06_08:20:00,14,14,82,Teilweise sonnig,17,2022-07-06_09:07:36,38.98,38.98,37.87,55.0,1023.01,27.12
